Protein_ID,Group_A_1,Group_A_2,Group_A_3,Group_B_1,Group_B_2,Group_B_3,Group_C_1,Group_C_2,Group_C_3,Group_D_1,Group_D_2,Group_D_3
Q16881,2818908.689,2185939.71,2454844.628,2346120.937,2144747.227,2853536.832,2018971.744,2103552.934,2368856.708,1669066.632,2118495.756,1896416.672
Q9HAI6,52764538.58,53603498.36,69692542.41,196020659.5,281646010.5,292954678.3,94894326.74,85001150.65,76079342.32,67518585.58,79367940.59,
P48544,18786612.1,,27679256.23,27165077.95,23208810.47,30644994.15,24135115.47,24828261.01,,,16800765.43,32484135.76
Q8IZ73,,,57302445.02,24970774,34325423.85,62657192.32,36799434.3,31590209.37,78898452.06,46202903.32,40807168.49,26905611.46
Q9P203,89334982.39,48924544.88,72341726.48,77492351.04,104146591.4,71909347.24,,102517704.7,90851296.66,75020559.31,84358176.48,90759542.96
P41732,13176871.16,12716872.45,15620306.35,18121498.28,14078994.08,17935938.33,14117667.59,,,10216978.96,25347744.72,24766154.53
O75164,90116978.26,126692108.2,165135777.7,76117949.36,142206619.3,87136652.04,136223989.9,112203084.7,113983716.1,,117551322,158948137.6
P43080,632980.169,1146490.912,968825.009,817452.435,524747.392,1392901.487,739135.728,1402240.78,605999.613,1121547.266,1189301.764,1195403.138
Q96QG7,,9991948.391,,7449995.765,14440454.16,13404623.38,9303767.219,10933862.88,11166642.63,6012621.966,,9447978.722
P23471,47009499.52,,48167274.16,64450959.65,59079164.17,49856330.83,39056322.61,59415705.84,62175367.56,,70328256.94,61459772.5
Q9Y577,25664164.18,21157323.23,31125868.92,,24800044.37,30061617.34,88488153.18,58036649.34,,19473269.45,25480999.35,25923774.33
P09693,78004040.24,73829574.81,82926523.47,77553085.44,90720073.47,84194940.21,55745071.6,61039375.03,68304237.65,60525437.82,84999664.06,99050177.59
A6NFA0,41373348.76,26690944.75,15812994.65,24108843.11,26098909.75,29915312.36,34249909.29,32965010.55,49874186.19,,64052670.98,113526711.3
P54826,8482742.392,13550744.6,17269155.29,21052270.9,29896751.7,,14433050.8,12627194.37,11267532.73,,11965162.07,14780760.18
B2RXH8,69240564.83,84636708.49,,109982424.4,57049658.02,67029862.1,88316732.86,,46726474.68,78821975.46,96602679.44,84071163.22
A0A1B0GTL2,28342477.25,,23598734.48,15785593.2,24014416.35,,9130934.503,6886825.196,11322518.6,20453772.39,,25517553.63
Q9BZE4,3708293.766,6647358.757,17057584.59,4905188.149,5446397.662,6195254.887,4526958.997,8772234.786,4000524.336,5788120.389,6080775.308,7642670.917
Q5SZD4,44346140.59,21435290.25,,26214839.15,36204328.31,24187986.57,28155710.13,30981697.54,35518955.35,12995555.77,20318776.48,12862136.28
O95397,20241697.77,37930351.58,37788604.34,20564817.88,44389345.92,41045764.77,41104566.32,40504494.06,25973525.48,32973821.87,,
Q9NNZ6,125201007.3,,176166620.1,,178696551.1,134201403.5,165634446.2,137425617.5,156145627.8,148803441.1,152091446.8,226266074.8
Q16891,3825162.241,6712487.727,6443994.57,2976079.057,4251253.049,4398918.757,4026776.419,7598205.828,5458655.901,4297838.696,3319884.354,6552789.603
Q902F8,17256437.19,13152152.47,24565580.62,21265849.41,16856782.25,,19666878.77,17905269.54,35357032.39,13991173.76,19428196.94,23725669.59
Q9UFW8,128009565.6,55562286.65,115817931.7,62266648.6,57159316.88,69507493.2,46392961.64,64855501.89,76693937.3,71578843.37,46561970.42,71536658.74
